Composition & Framing,Materials & Textures,Lighting,Style & Realism,Technical / Output,Atmosphere / Extras,Shot Type & Angle,FX & Details / Overlays / Imperfections,Aesthetics
rule of thirds,brushed steel,studio softbox,Editorial,aspect 1:1,film grain,Extreme Wide Shot (EWS),chromatic aberration,aliencore
symmetrical framing,carbon fiber,natural backlight,Street,aspect 4:5,light leaks,Wide Shot (WS),vintage film grain,angelcore
negative space,weathered wood,golden‑hour glow,High Fashion,aspect 3:2,dust motes,Full Shot (FS),film scratches,art hoe
leading lines,cracked paint,blue‑hour cool,iPhone Snapshot,aspect 16:9,lens flare,Medium Shot (MS),dust & specks,avant garde
centered subject,glossy ceramic,low‑key lighting,Polaroid,aspect 9:16,bokeh balls,Medium Close‑Up (MCU),light leak overlay,baddie
diagonal composition,leather grain,high‑key lighting,Fashion Campaign,aspect 2:3,rain droplets,Close‑Up (CU),glitch artifact,barbiecore
golden ratio,velvet fabric,split lighting,Lifestyle,aspect 21:9,snow particles,Extreme Close‑Up (ECU),vhs scanlines,baroque
asymmetrical balance,frosted glass,loop lighting,Documentary / Photo‑journalistic,aspect 4:3,fog haze,Two‑Shot,halftone dots,bastardcore
foreground framing,polished marble,Rembrandt lighting,Fine Art,aspect 5:4,smoke plumes,Over‑the‑Shoulder (OTS),ink splatter,beatnik
background blur,raw concrete,butterfly lighting,Conceptual,aspect 3:1,neon glow,Point‑of‑View (POV),watercolor bleed,cabincore
worm's‑eye view,worn denim,rim light,Minimalist,aspect 2.35:1,glitch distortion,Dutch Angle,god‑ray shader,campcore
bird's‑eye view,anodized aluminum,flat lighting,Surrealist,aspect 2.39:1,VHS static,Low Angle,subsurface scattering,casinocore
portrait orientation,textured paper,broad lighting,Abstract,,chromatic aberration,High Angle,ambient occlusion pass,chaotic academia
landscape orientation,rusted metal,short lighting,Cinematic,,infrared glow,Bird's‑Eye View,toon shader,cleancore
tilt‑shift,pitted stone,neon accent light,Noir,,thermal vision,Worm's‑Eye View,bloom filter,cloudcore
panoramic stitch,glitter finish,cinematic chiaroscuro,Vintage / Retro,,long‑exposure trails,Tilted Horizon,depth‑of‑field bokeh,clowncore
minimal framing,granite speckle,strobe flash,Film Emulation,,motion blur,Aerial Shot,ray‑traced caustics,cottagecore
close crop,mesh fabric,ring light,High Key,,soft bloom,Tracking Shot,motion vector blur,coquette
fractal repetition,oxidized copper,volumetric God rays,Low Key,,mirror reflections,Dolly Zoom,noise displacement,craftcore
radial balance,hemp rope,gelled color wash,High Contrast,,halation glow,Handheld Shake,moire pattern,crowcore
,silk satin,hard flash,Moody / Dark & Moody,,,,,cryptidcore
,sheer organza,direct on‑camera flash,Pastel,,,,,cybergoth
,tulle netting,runway strobe,Color Pop / Vibrant,,,,,cyberpunk
,sequined fabric,fashion ringflash,Monochrome,,,,,dark academia
,holographic vinyl,candlelight warm,Duotone,,,,,dreamcore
,latex rubber,overcast diffused light,Matte Finish,,,,,fairycore
,acrylic plexiglass,sunrise pastel light,Grainy / Lo‑Fi,,,,,goblincore
,brushed brass,twilight dusk light,HDR,,,,,gorpcore
,patinated bronze,backlit silhouette,Long Exposure / Light‑Trail,,,,,grunge
,distressed leather,urban neon wash,Double Exposure,,,,,kidcore
,polished chrome,,Composite / Digital Art,,,,,light academia
,matte plastic,,Collage / Mixed‑Media,,,,,mermaidcore
,recycled cardboard,,Glitch / Experimental,,,,,minimalism
,corrugated metal,,,,,,,old money
,terrazzo,,,,,,,pastel goth
,pebbled suede,,,,,,,preppy
,bamboo weave,,,,,,,retro futurism
,rattan cane,,,,,,,scenecore
,pearlescent enamel,,,,,,,spacecore
,crystal glass,,,,,,,steampunk
,,,,,,,,stonercore
,,,,,,,,techwear
,,,,,,,,vaporwave
,,,,,,,,weirdcore
,,,,,,,,witchcore
,,,,,,,,y2k
,,,,,,,,grandmacore
,,,,,,,,kawaii
,,,,,,,,mattecore
,,,,,,,,monochrome
,,,,,,,,neoncore
,,,,,,,,pixel art
,,,,,,,,psychedelic
,,,,,,,,shabby chic
,,,,,,,,solar punk
,,,,,,,,synthwave
,,,,,,,,trad goth
,,,,,,,,urbancore
,,,,,,,,victorian
,,,,,,,,warmcore
,,,,,,,,wintercore
,,,,,,,,cyberprep
,,,,,,,,gothcore
,,,,,,,,farmcore
,,,,,,,,forestpunk
,,,,,,,,atlanticcore
,,,,,,,,comfycozy
,,,,,,,,dark cottagecore
,,,,,,,,dieselpunk
,,,,,,,,elegant gothic lolita
,,,,,,,,fruitcore
,,,,,,,,gentlecore
,,,,,,,,gremlincore
,,,,,,,,milkcore
,,,,,,,,nautical
,,,,,,,,pale academia
,,,,,,,,primal punk
,,,,,,,,seapunk
,,,,,,,,skatercore
,,,,,,,,sports luxe
,,,,,,,,tropicalcore
,,,,,,,,unicorncore
,,,,,,,,wabi‑sabi
,,,,,,,,zombiecore
,,,,,,,,zoomercore
